#  aims_uuid : D22AE5DF-1E78-486A-A5C9-0195B923D788                                
# spin_dn angular momentum projected density of states for species O as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -7.049617 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2
      -12.95038342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.94538342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.94038342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.93538342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.93038342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.92538342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.92038342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.91538342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.91038342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.90538342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.90038342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.89538342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.89038342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.88538342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.88038342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.87538342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.87038342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.86538342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.86038342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.85538342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.85038342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.84538342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.84038342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.83538342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.83038342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.82538342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.82038342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.81538342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.81038342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.80538342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.80038342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.79538342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.79038342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.78538342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.78038342        0.00000000        0.00000000        0.00000000        0.00000000
      -12.77538342        0.00000000        0.00000000        0.00000000        0.00000000
