#  aims_uuid : D22AE5DF-1E78-486A-A5C9-0195B923D788                                
# spin_up angular momentum projected density of states for species O as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2
      -20.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.99500000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.99000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.98500000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.98000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.97500000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.97000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.96500000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.96000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.95500000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.95000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.94500000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.94000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.93500000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.93000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.92500000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.92000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.91500000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.91000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.90500000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.90000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.89500000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.89000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.88500000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.88000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.87500000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.87000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.86500000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.86000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.85500000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.85000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.84500000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.84000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.83500000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.83000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.82500000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.82000000        0.00000000        0.00000000        0.00000000        0.00000000
